gene_id	beam_rank	status	family	pval	qval	gene_name	gene_short_name	feature_type	highly_variable	num_cells_expressed	use_for_ordering	labelled
ENSMUSG00000041245	1	OK	negbinomial.size	0.0	0.0	Wnk3	Wnk3	Gene Expression	True	1869	True	False
ENSMUSG00000067786	2	OK	negbinomial.size	0.0	0.0	Nnat	Nnat	Gene Expression	True	1706	True	False
ENSMUSG00000031170	3	OK	negbinomial.size	0.0	0.0	Slc38a5	Slc38a5	Gene Expression	True	2402	True	False
ENSMUSG00000052572	4	OK	negbinomial.size	0.0	0.0	Dlg2	Dlg2	Gene Expression	True	932	True	False
ENSMUSG00000057069	5	OK	negbinomial.size	0.0	0.0	Ero1lb	Ero1lb	Gene Expression	True	1892	True	False
ENSMUSG00000047591	6	OK	negbinomial.size	0.0	0.0	Mafa	Mafa	Gene Expression	True	688	True	True
ENSMUSG00000061808	7	OK	negbinomial.size	0.0	0.0	Ttr	Ttr	Gene Expression	True	2835	True	True
ENSMUSG00000031099	8	OK	negbinomial.size	0.0	0.0	Smarca1	Smarca1	Gene Expression	True	2262	True	False
ENSMUSG00000022490	9	OK	negbinomial.size	0.0	0.0	Ppp1r1a	Ppp1r1a	Gene Expression	True	1326	True	False
ENSMUSG00000054728	10	OK	negbinomial.size	0.0	0.0	Phactr1	Phactr1	Gene Expression	True	1653	True	False
ENSMUSG00000029467	11	OK	negbinomial.size	0.0	0.0	Atp2a2	Atp2a2	Gene Expression	True	2809	True	False
ENSMUSG00000032776	12	OK	negbinomial.size	0.0	0.0	Mctp2	Mctp2	Gene Expression	True	1290	True	False
ENSMUSG00000029673	13	OK	negbinomial.size	0.0	0.0	Auts2	Auts2	Gene Expression	True	2733	True	False
ENSMUSG00000061601	14	OK	negbinomial.size	0.0	0.0	Pclo	Pclo	Gene Expression	True	2784	True	False
ENSMUSG00000040856	15	OK	negbinomial.size	0.0	0.0	Dlk1	Dlk1	Gene Expression	True	2349	True	False
ENSMUSG00000035804	16	OK	negbinomial.size	0.0	0.0	Ins1	Ins1	Gene Expression	True	1561	True	True
ENSMUSG00000027690	17	OK	negbinomial.size	0.0	0.0	Slc2a2	Slc2a2	Gene Expression	True	693	True	False
ENSMUSG00000078974	18	OK	negbinomial.size	0.0	0.0	Sec61g	Sec61g	Gene Expression	False	2996	True	False
ENSMUSG00000017311	19	OK	negbinomial.size	0.0	0.0	Pyy	Pyy	Gene Expression	True	2406	True	False
ENSMUSG00000017316	20	OK	negbinomial.size	0.0	0.0	Ppy	Ppy	Gene Expression	True	986	True	False
ENSMUSG00000029644	21	OK	negbinomial.size	0.0	0.0	Pdx1	Pdx1	Gene Expression	True	2140	True	True
ENSMUSG00000000215	22	OK	negbinomial.size	0.0	0.0	Ins2	Ins2	Gene Expression	False	2167	True	True
ENSMUSG00000046178	23	OK	negbinomial.size	0.0	0.0	Nxph1	Nxph1	Gene Expression	True	1176	True	False
ENSMUSG00000031255	24	OK	negbinomial.size	0.0	0.0	Sytl4	Sytl4	Gene Expression	True	946	True	False
ENSMUSG00000064177	25	OK	negbinomial.size	0.0	0.0	Ghrl	Ghrl	Gene Expression	True	908	True	False
ENSMUSG00000021794	26	OK	negbinomial.size	0.0	0.0	Glud1	Glud1	Gene Expression	False	2961	True	False
ENSMUSG00000091956	27	OK	negbinomial.size	0.0	0.0	C2cd4b	C2cd4b	Gene Expression	True	1627	True	False
ENSMUSG00000026864	28	OK	negbinomial.size	0.0	0.0	Hspa5	Hspa5	Gene Expression	False	2891	True	False
ENSMUSG00000035277	29	OK	negbinomial.size	0.0	0.0	Arx	Arx	Gene Expression	True	1515	True	True
ENSMUSG00000053317	30	OK	negbinomial.size	0.0	0.0	Sec61b	Sec61b	Gene Expression	False	3027	True	False
ENSMUSG00000004151	31	OK	negbinomial.size	0.0	0.0	Etv1	Etv1	Gene Expression	True	1952	True	False
ENSMUSG00000092035	32	OK	negbinomial.size	0.0	0.0	Peg10	Peg10	Gene Expression	True	1797	True	False
ENSMUSG00000031093	33	OK	negbinomial.size	0.0	0.0	Dock11	Dock11	Gene Expression	True	1926	True	False
ENSMUSG00000015401	34	OK	negbinomial.size	0.0	0.0	Cltrn	Cltrn	Gene Expression	True	2140	True	False
ENSMUSG00000006586	35	OK	negbinomial.size	0.0	0.0	Runx1t1	Runx1t1	Gene Expression	True	2608	True	False
ENSMUSG00000036402	36	OK	negbinomial.size	0.0	0.0	Gng12	Gng12	Gene Expression	True	2549	True	False
ENSMUSG00000002265	37	OK	negbinomial.size	0.0	0.0	Peg3	Peg3	Gene Expression	False	3026	True	False
ENSMUSG00000000394	38	OK	negbinomial.size	0.0	0.0	Gcg	Gcg	Gene Expression	False	1462	True	True
ENSMUSG00000017165	39	OK	negbinomial.size	0.0	0.0	Gast	Gast	Gene Expression	True	1400	True	False
