lineage	sample	genotype	pseudotime_bin	panel	program_log1pCP10K	n_cells	control_reference	delta_vs_control
Alpha	Control 1	control	1	α lineage TFs	0.09050272266350592	26	0.1553303714885261	-0.06482764882502018
Alpha	Control 1	control	1	α terminal output	0.545278145459848	26	0.5897143496821537	-0.044436204222305764
Alpha	Control 1	control	2	α lineage TFs	0.2752373453979339	38	0.3219579847680413	-0.04672063937010745
Alpha	Control 1	control	2	α terminal output	1.3692372647785338	38	1.2204948267444122	0.14874243803412157
Alpha	Control 1	control	3	α lineage TFs	0.5148463348916221	40	0.4975515022445987	0.017294832647023417
Alpha	Control 1	control	3	α terminal output	2.648889666407931	40	2.304492906300107	0.34439676010782394
Alpha	Control 1	control	4	α lineage TFs	0.8827037224334393	50	0.8811317491794397	0.0015719732539996034
Alpha	Control 1	control	4	α terminal output	4.638501248347928	50	3.6244783985825286	1.0140228497653991
Alpha	Control 1	control	5	α lineage TFs	0.8737423822952546	30	0.9944847529548547	-0.12074237065960014
Alpha	Control 1	control	5	α terminal output	4.903958167071917	30	4.487106132625614	0.41685203444630226
Alpha	Control 2	control	1	α lineage TFs	0.16548511257952858	18	0.1553303714885261	0.010154741091002478
Alpha	Control 2	control	1	α terminal output	0.6031558660918418	18	0.5897143496821537	0.013441516409688048
Alpha	Control 2	control	2	α lineage TFs	0.313641866295409	26	0.3219579847680413	-0.008316118472632306
Alpha	Control 2	control	2	α terminal output	1.1759890468663567	26	1.2204948267444122	-0.044505779878055485
Alpha	Control 2	control	3	α lineage TFs	0.431140449611664	34	0.4975515022445987	-0.06641105263293473
Alpha	Control 2	control	3	α terminal output	2.1026813688937693	34	2.304492906300107	-0.20181153740633784
Alpha	Control 2	control	4	α lineage TFs	0.8823822987215615	32	0.8811317491794397	0.0012505495421217816
Alpha	Control 2	control	4	α terminal output	3.416419784752605	32	3.6244783985825286	-0.20805861382992363
Alpha	Control 2	control	5	α lineage TFs	1.0873390925855162	69	0.9944847529548547	0.09285433963066148
Alpha	Control 2	control	5	α terminal output	4.580592774008888	69	4.487106132625614	0.093486641383274
Alpha	Control 3	control	1	α lineage TFs	0.21000327922254378	78	0.1553303714885261	0.05467290773401767
Alpha	Control 3	control	1	α terminal output	0.6207090374947715	78	0.5897143496821537	0.030994687812617716
Alpha	Control 3	control	2	α lineage TFs	0.37699474261078114	57	0.3219579847680413	0.055036757842739814
Alpha	Control 3	control	2	α terminal output	1.116258168588346	57	1.2204948267444122	-0.10423665815606631
Alpha	Control 3	control	3	α lineage TFs	0.54666772223051	47	0.4975515022445987	0.04911621998591126
Alpha	Control 3	control	3	α terminal output	2.1619076835986206	47	2.304492906300107	-0.14258522270148655
Alpha	Control 3	control	4	α lineage TFs	0.8783092263833182	39	0.8811317491794397	-0.002822522796121496
Alpha	Control 3	control	4	α terminal output	2.8185141626470527	39	3.6244783985825286	-0.805964235935476
Alpha	Control 3	control	5	α lineage TFs	1.0223727839837933	23	0.9944847529548547	0.027888031028938554
Alpha	Control 3	control	5	α terminal output	3.976767456796038	23	4.487106132625614	-0.5103386758295763
Alpha	dEndo 1	dEndo	1	α lineage TFs	0.0741283983075038	1	0.1553303714885261	-0.0812019731810223
Alpha	dEndo 1	dEndo	1	α terminal output	0.26245942993929466	1	0.5897143496821537	-0.3272549197428591
Alpha	dEndo 1	dEndo	2	α lineage TFs	0.1641954937270688	9	0.3219579847680413	-0.15776249104097254
Alpha	dEndo 1	dEndo	2	α terminal output	1.1422587328155036	9	1.2204948267444122	-0.07823609392890862
Alpha	dEndo 1	dEndo	3	α lineage TFs	0.6425861694044126	19	0.4975515022445987	0.1450346671598139
Alpha	dEndo 1	dEndo	3	α terminal output	1.5037508434543692	19	2.304492906300107	-0.800742062845738
Alpha	dEndo 1	dEndo	4	α lineage TFs	0.976799851128128	14	0.8811317491794397	0.09566810194868824
Alpha	dEndo 1	dEndo	4	α terminal output	3.5389568818388346	14	3.6244783985825286	-0.08552151674369401
Alpha	dEndo 1	dEndo	5	α lineage TFs	0.9917501881606676	16	0.9944847529548547	-0.0027345647941871
Alpha	dEndo 1	dEndo	5	α terminal output	3.7148461321059685	16	4.487106132625614	-0.7722600005196458
Alpha	dEndo 2	dEndo	1	α lineage TFs	0.20153496570711185	50	0.1553303714885261	0.04620459421858575
Alpha	dEndo 2	dEndo	1	α terminal output	0.3417552264645714	50	0.5897143496821537	-0.24795912321758234
Alpha	dEndo 2	dEndo	2	α lineage TFs	0.25665693258328603	45	0.3219579847680413	-0.06530105218475529
Alpha	dEndo 2	dEndo	2	α terminal output	1.2704767525141551	45	1.2204948267444122	0.04998192576974292
Alpha	dEndo 2	dEndo	3	α lineage TFs	0.42611041236844266	48	0.4975515022445987	-0.07144108987615605
Alpha	dEndo 2	dEndo	3	α terminal output	1.9785650690536807	48	2.304492906300107	-0.3259278372464265
Alpha	dEndo 2	dEndo	4	α lineage TFs	1.0205185914952077	21	0.8811317491794397	0.13938684231576803
Alpha	dEndo 2	dEndo	4	α terminal output	3.0924226670080888	21	3.6244783985825286	-0.5320557315744399
Alpha	dEndo 2	dEndo	5	α lineage TFs	1.0083672964377175	20	0.9944847529548547	0.013882543482862775
Alpha	dEndo 2	dEndo	5	α terminal output	3.1871604134175504	20	4.487106132625614	-1.299945719208064
Alpha	dEndo 3	dEndo	1	α lineage TFs	0.2048768562572953	222	0.1553303714885261	0.04954648476876919
