gene	contrast	alpha_effect	beta_effect	alpha_q	beta_q	category	alpha_plot	beta_plot
1110008P14Rik	dEndo − control	-0.1284564794720685	-0.1408236937846136	1.0	1.0	other tested genes	-0.12810579908721123	-0.14036234603186346
1500009L16Rik	dEndo − control	-0.0939745851755127	-0.0418009721590346	1.0	1.0	other tested genes	-0.09383681357324662	-0.04178880843289735
1700025G04Rik	dEndo − control	-0.0785508556378421	0.0258456491847264	1.0	1.0	other tested genes	-0.07847029954564083	0.025842772577488383
2410006H16Rik	dEndo − control	-0.1002528319127938	-0.0851361288063428	1.0	1.0	other tested genes	-0.10008565290388634	-0.08503361609849183
2610002M06Rik	dEndo − control	-0.1264906636064186	-0.3276488459925593	1.0	1.0	other tested genes	-0.1261557632381421	-0.3220527921429078
2610035D17Rik	dEndo − control	-0.3195928409602898	-0.4025295809426823	1.0	1.0	other tested genes	-0.314388169008605	-0.3923829511205228
4833439L19Rik	dEndo − control	-0.0798757381372468	-0.2503448492572988	1.0	1.0	other tested genes	-0.07979104475971757	-0.2478010008897945
4933406I18Rik	dEndo − control	-0.2102428281074818	-0.2351491779088615	1.0	1.0	other tested genes	-0.20872398884534876	-0.2330342898692423
5330417C22Rik	dEndo − control	-0.6746671059202363	-0.3998928189676512	1.0	1.0	other tested genes	-0.6317895914101304	-0.38993580284158275
9030622O22Rik	dEndo − control	-0.3307397247288718	-0.2166098207325295	1.0	1.0	other tested genes	-0.32498868157282595	-0.21495073510307267
A1cf	dEndo − control	-0.009626052943086	-0.3684047699598941	1.0	1.0	other tested genes	-0.009625904289503792	-0.3605426278526614
A2ml1	dEndo − control	0.494051976209939	0.6779402029780899	1.0	1.0	other tested genes	0.47588543219153473	0.6345008533963137
AC149090.1	dEndo − control	0.4073084891454822	0.290846092723199	1.0	1.0	other tested genes	0.39681250065515034	0.28689423465117175
AY036118	dEndo − control	-0.6963676741033256	-0.7918408777766168	1.0	0.0414658915805963	other tested genes	-0.6496883098546449	-0.7262843658794196
Abca1	dEndo − control	-0.2290734540400399	-0.2182153478169994	1.0	1.0	other tested genes	-0.22711591045594312	-0.2165196111519999
Abcc8	dEndo − control	-0.2659197135522837	-0.1968502870409551	1.0	1.0	other tested genes	-0.2628814253975285	-0.19560063164931546
Abracl	dEndo − control	0.1056169458847866	0.0584098514752937	1.0	1.0	other tested genes	0.10542156661830218	0.05837668944308505
Acat1	dEndo − control	0.0817889846532252	-0.1696983326731716	1.0	1.0	other tested genes	0.08169807100363129	-0.16889422802964343
Acly	dEndo − control	-0.1537315424188782	-0.1969837199711389	1.0	1.0	other tested genes	-0.15313236027207158	-0.19573155044614068
Acot1	dEndo − control	-0.1592445040553605	-0.2043678636722491	1.0	1.0	other tested genes	-0.15857902857336975	-0.2029713426776862
Actb	dEndo − control	-0.4241782501954931	-0.3233478014504141	1.0	1.0	other tested genes	-0.4123896012601243	-0.3179629537906403
Actg1	dEndo − control	-0.109777606980665	0.046751033270162	1.0	1.0	other tested genes	-0.10955830362074047	0.04673401969485756
Acvr1c	dEndo − control	0.0242461376957376	-0.0242964573064509	1.0	1.0	other tested genes	0.02424376270682577	-0.024294067502541306
Acyp2	dEndo − control	-0.6611160898204288	-0.6011672149059211	1.0	1.0	other tested genes	-0.6205208437938959	-0.5698255195224915
Adam22	dEndo − control	0.3171233429277194	-0.0035983192256403	1.0	1.0	other tested genes	0.3120350409397499	-0.003598311460571877
Adgrb3	dEndo − control	0.2094029665951725	0.5684338704308309	1.0	1.0	other tested genes	0.20790202619283	0.5415694294172742
Adk	dEndo − control	-0.0216213755640228	-0.2496194222263584	1.0	1.0	other tested genes	-0.021619691310883402	-0.2470972303501883
Aff2	dEndo − control	-0.0873302175809676	-0.2558490366530425	1.0	1.0	other tested genes	-0.08721959186665715	-0.25313693091826195
Agap1	dEndo − control	-0.0881187777620193	-0.2086035575223301	1.0	1.0	other tested genes	-0.0880051352120457	-0.2071195252114126
Agbl4	dEndo − control	0.1360943679366346	-0.0874196689894487	1.0	1.0	other tested genes	0.13567771538925896	-0.0873087037647868
Ago2	dEndo − control	0.0793082300050129	-0.2147425634814327	1.0	1.0	other tested genes	0.07922532568834666	-0.21312544827220525
Agpat4	dEndo − control	-0.2377960488941534	-0.2164338255994201	1.0	1.0	other tested genes	-0.23561012053327635	-0.21477872583270627
Airn	dEndo − control	-0.1188784846912179	-0.0743534338478448	1.0	1.0	other tested genes	-0.11860025017851637	-0.07428509406263469
Akap13	dEndo − control	-0.1785397639138043	-0.0548966815648169	1.0	1.0	other tested genes	-0.17760458183369662	-0.054869145700095184
Akap17b	dEndo − control	-0.2199123600858734	-0.1583638549179686	1.0	1.0	other tested genes	-0.21817731361572126	-0.157709278192667
Akap9	dEndo − control	-0.1024796988404952	-0.0973050325369841	1.0	1.0	other tested genes	-0.10230116614754146	-0.0971521314047424
Akr1c19	dEndo − control	-0.2033663693223765	-0.0714425564324966	1.0	1.0	other tested genes	-0.20199003326148351	-0.07138192133311147
Akt3	dEndo − control	-0.150133241546114	-0.165484954705865	1.0	1.0	other tested genes	-0.14957488630547436	-0.16473880532953986
Alcam	dEndo − control	0.0521618389924009	0.0729770418443587	1.0	1.0	other tested genes	0.05213821375271534	0.07291242157616934
Aldoa	dEndo − control	-0.1826513565188316	-0.0678266262742865	1.0	1.0	other tested genes	-0.1816507194017186	-0.06777472812796533
Anapc16	dEndo − control	-0.0292459166260754	-0.1096292833043389	1.0	1.0	other tested genes	-0.029241749109294706	-0.10941086449472592
Ank	dEndo − control	-0.3018539191650863	-0.0929848026626884	1.0	1.0	other tested genes	-0.29744832633288776	-0.0928513275455305
Ank2	dEndo − control	-0.1350494787706421	-0.3478932272515035	1.0	1.0	other tested genes	-0.13464229829403823	-0.34123240778392444
Ank3	dEndo − control	-0.1664705867858898	-0.2125961642986457	1.0	1.0	other tested genes	-0.16571113519248998	-0.21102642961194554
Ankrd11	dEndo − control	-0.1144313770464336	-0.2241572818917897	1.0	1.0	other tested genes	-0.11418309955941099	-0.22232131319543355
Ankrd17	dEndo − control	-0.0774601426808346	-0.1205822625947123	1.0	1.0	other tested genes	-0.07738288999022723	-0.1202919455019788
Ankrd44	dEndo − control	-0.1224174878196151	-0.0191499570678682	1.0	1.0	other tested genes	-0.12211377264225468	-0.01914878681287143
Ano6	dEndo − control	0.1277472404046458	0.126967569327125	1.0	1.0	other tested genes	0.12740230871452696	0.12662888485727197
Anxa4	dEndo − control	-0.0462187753943713	-0.1270367820507979	1.0	1.0	other tested genes	-0.046202335958734596	-0.12669754605875572
Ap1s2	dEndo − control	-0.0009293522681009	-0.0271189827075563	1.0	1.0	other tested genes	-0.0009293521343213686	-0.027115659746569425
Apba1	dEndo − control	-0.179072711303298	-0.1242954654471192	1.0	1.0	other tested genes	-0.1781292086032528	-0.12397762261566395
Aplp1	dEndo − control	-0.2596118799780787	-0.2547459993950294	1.0	1.0	other tested genes	-0.2567806994749957	-0.2520681730839476
Aplp2	dEndo − control	-0.1469478298666792	-0.2140260732635171	1.0	1.0	other tested genes	-0.14642404672372514	-0.21242487657583445
App	dEndo − control	-0.2137069087486954	-0.3057532368764833	1.0	1.0	other tested genes	-0.21211276996220033	-0.3011792652655951
Appl1	dEndo − control	-0.0931029758709135	-0.1684762963377464	1.0	1.0	other tested genes	-0.0929689925286596	-0.16768929520243822
Arf5	dEndo − control	-0.0221890321906726	0.105504237896287	1.0	1.0	other tested genes	-0.022187211787322907	0.10530948138485917
Arhgap21	dEndo − control	0.0043369441338929	-0.1138152702750685	1.0	1.0	other tested genes	0.004336930538349917	-0.11357096615519718
Arhgef11	dEndo − control	-0.2785625596028198	-0.1288757331272631	1.0	1.0	other tested genes	-0.27508023002060866	-0.12852162487723695
Arhgef28	dEndo − control	-0.3595380548847653	-0.2503842915488011	1.0	1.0	other tested genes	-0.3522106599239491	-0.24783926224872194
Arid1b	dEndo − control	-0.2453243372841012	-0.209535690932875	1.0	1.0	other tested genes	-0.24292792008915254	-0.20803193117842375
Arl15	dEndo − control	-0.3191171098416575	-0.2336716369427209	1.0	1.0	other tested genes	-0.31393498643239215	-0.2315957433068648
Arx	dEndo − control	-0.5313044837127994	0.0125948021720964	1.0	1.0	other tested genes	-0.5090347086163045	0.012594469212296937
Asap2	dEndo − control	0.0103471609737067	-0.1780553176105338	1.0	1.0	other tested genes	0.01034697634830916	-0.17712765694992685
Ash1l	dEndo − control	-0.0444293999586047	0.0010554649523716	1.0	1.0	other tested genes	-0.0444147958653742	0.0010554647564059367
